team,matches,goals,xg,goals_minus_xg,z,p_value,flag
USA,4,10,6.34,3.66,1.453571691544854,0.14606509006544924,
France,5,14,10.58,3.42,1.051437039851301,0.2930579115959041,
Morocco,5,10,6.59,3.41,1.328347405059412,0.1840633659191211,
Netherlands,4,11,7.78,3.2199999999999998,1.1544259304051403,0.24832558932099968,
Brazil,4,9,6.65,2.3499999999999996,0.9112909128371404,0.36214211313514955,
Argentina,4,11,8.719999999999999,2.280000000000001,0.7721054260856003,0.44005198875016593,
Mexico,4,8,5.75,2.25,0.9383148632568366,0.34808262363292397,
Germany,4,11,8.940000000000001,2.0599999999999987,0.6889670639533702,0.490843994358204,
Norway,4,10,8.120000000000001,1.879999999999999,0.6597506619629802,0.5094138496093351,
Switzerland,4,9,7.220000000000001,1.7799999999999994,0.66244740553266,0.5076845309881126,
New Zealand,3,4,2.23,1.77,1.1852796684228923,0.23590688947549254,
Austria,4,6,4.29,1.71,0.8255957797908076,0.4090334299156785,
Japan,4,8,6.290000000000001,1.709999999999999,0.681821650518709,0.4953517323784702,
Cabo Verde,4,4,2.33,1.67,1.0940533760742988,0.27393156912930006,
Bosnia and Herzegovina,4,5,3.59,1.4100000000000001,0.7441695376966561,0.4567739146041452,
Sweden,4,7,5.62,1.38,0.5821178660412449,0.5604872917750585,
Croatia,4,6,4.88,1.12,0.5070001778381038,0.6121546937896802,
Belgium,4,9,8.02,0.9800000000000004,0.34605003025776,0.7293051160189202,
Senegal,4,10,9.120000000000001,0.879999999999999,0.2913971185543093,0.770747618039904,
Paraguay,5,3,2.45,0.5499999999999998,0.35138211074996684,0.7253017013822287,
England,4,8,7.47,0.5300000000000002,0.1939168593151197,0.8462409824456513,
Egypt,4,6,5.48,0.5199999999999996,0.22213299100635767,0.82421035623417,
Jordan,3,3,2.52,0.48,0.30237157840738177,0.7623688184698398,
Uzbekistan,3,2,1.5699999999999998,0.43000000000000016,0.34317736032107765,0.7314650354783536,
Canada,5,9,8.64,0.35999999999999943,0.1224744871391587,0.9025232501776796,
Côte d'Ivoire,4,5,4.65,0.34999999999999964,0.16230861351605871,0.8710628320164218,
Algeria,4,5,4.6899999999999995,0.3100000000000005,0.14314469992727938,0.8861759029813249,
Türkiye,3,3,2.74,0.2599999999999998,0.1570717442658459,0.8751883059477119,
Tunisia,3,2,1.75,0.25,0.1889822365046136,0.8501067391385259,
Congo DR,4,5,4.84,0.16000000000000014,0.07272727272727278,0.9420231455136775,
Curaçao,3,1,0.84,0.16000000000000003,0.17457431218879393,0.8614141344963562,
Qatar,3,2,1.95,0.050000000000000044,0.035805743701971676,0.9714372531935248,
Australia,4,3,3.15,-0.1499999999999999,-0.08451542547285161,0.9326466389658761,
Portugal,4,8,8.23,-0.23000000000000043,-0.08017296005321137,0.9360996956693993,
Iraq,3,1,1.27,-0.27,-0.23958625754235074,0.810651019422512,
IR Iran,3,3,3.42,-0.41999999999999993,-0.22710998958306752,0.8203382164336169,
Saudi Arabia,3,1,1.48,-0.48,-0.39455756953285753,0.6931694326614118,
South Africa,4,2,3.06,-1.06,-0.6059616675035312,0.5445402079114585,
Scotland,3,1,2.0700000000000003,-1.0700000000000003,-0.7437014101369002,0.4570571361590745,
Uruguay,3,3,4.1899999999999995,-1.1899999999999995,-0.5813530428077772,0.5610025382104459,
Ghana,4,2,3.19,-1.19,-0.6662720880374666,0.5052372029595118,
Haiti,3,2,3.27,-1.27,-0.7023116047838504,0.4824848577021058,
South Korea,3,2,3.42,-1.42,-0.7678480600189427,0.44257745808921667,
Czechia,3,2,3.5700000000000003,-1.5700000000000003,-0.8309321147191923,0.4060119801653317,
Spain,4,8,9.62,-1.6199999999999992,-0.5223089629775202,0.6014552296354974,
Panama,3,0,1.8599999999999999,-1.8599999999999999,-1.3638181696985854,0.17262480026296567,
Colombia,4,5,7.53,-2.5300000000000002,-0.9219832541049396,0.35653731057265536,
Ecuador,4,2,4.88,-2.88,-1.3037147430122669,0.19233086078657957,
